Date,ARIMA,RandomForest,LSTM,NaiveZero,NaiveLag1,E1_EqualAverage,E2_LinearStacker,E3_RollingRMSE,E4_SignalVoting,E5_RegimeSwitch,E6_ResidualHybrid,E7_ConfidenceWeight,Actual
2019-11-21,0.0003597683329144719,-0.0063795207263488375,-0.0032906776759773493,0.0,-0.0205137940460163,-0.0031034766898039045,-0.003103476689803905,-0.00307084361195356,-0.004835099201163094,-0.0063795207263488375,-0.0022060470318495985,-0.0032906776262301464,0.007382779864165116
2019-11-22,0.001535618110943701,-0.010807104342069156,-0.0026230677030980587,0.0,0.007382779864165116,-0.003964851311407838,-0.003964851311407837,-0.0038968550880647524,-0.006715086022583607,-0.010807104342069156,-0.001868725346539029,-0.0026230678212838163,-0.06337613515278105
2019-11-25,0.0007045908047423289,0.0013356756359879482,-0.0014571319334208965,0.0,-0.06337613515278105,0.00019437816910312686,0.0001943781691031269,0.00018932428159476285,0.0010201332203651386,0.0013356756359879482,-0.0003379922087059391,0.0007045896873407911,0.009859913662422741
2019-11-26,0.0028881976076958644,-0.00630314834079471,-0.0004108601715415716,0.0,0.009859913662422741,-0.0012752703015468058,-0.0012752703015468053,-0.0012534847732202788,-0.0033570042561681408,-0.00630314834079471,0.0002494614903511892,-0.00041086030481900915,-0.022307941280083638
2019-11-27,0.0013207157934935964,-0.000903422435545075,0.00028702692361548543,0.0,-0.022307941280083638,0.00023477342718800228,0.00023477342718800228,0.00023794471000062153,0.0008038713585545409,-0.000903422435545075,0.0005615798788360023,0.0002870267966844834,0.007179549593621818
2019-11-29,0.0018870848046272292,-0.012035033421686523,0.0004926866386085749,0.0,0.007179549593621818,-0.003218420659483573,-0.0032184206594835733,-0.0031833875115943227,0.001189885721617902,-0.012035033421686523,-0.00026375073937480713,0.0004926860022906566,-0.004083323372700306
2019-12-02,0.001174561294137914,0.007620849661774978,0.00031169457361102104,0.0,-0.004083323372700306,0.0030357018431746378,0.003035701843174638,0.003015101834224278,0.0030357018431746378,0.007620849661774978,0.0013974752273314779,0.0011745622953056997,0.014831555080380181
2019-12-03,0.0013728587606216692,0.005383945712466833,4.6890461817383766e-05,0.0,0.014831555080380181,0.0022678983116352952,0.0022678983116352952,0.0022570498584780557,0.0022678983116352952,0.005383945712466833,0.0011072370451278624,0.001372859264467055,0.003963875055647628
2019-12-04,0.0008373343349116401,0.0034970796949560083,-0.00026905606500804424,0.0,0.003963875055647628,0.001355119321619868,0.0013551193216198678,0.0013477162797837922,0.002167207014933824,0.0034970796949560083,0.0005448103707802329,0.0008373348614276658,-0.009473684936131738
2019-12-05,0.0008903002391961621,0.007394161572681964,-0.00044303538743406534,0.0,-0.009473684936131738,0.0026138088081480207,0.0026138088081480203,0.002597000192642647,0.004142230905939064,0.007394161572681964,0.0008780802860058788,0.0008903008343640804,-0.00801934863418639
2019-12-06,0.0013053993427534429,-0.004102751222978479,-0.0005247424123808742,0.0,-0.00801934863418639,-0.0011073647642019702,-0.0011073647642019704,-0.0010976790154720107,-0.0023137468176796768,-0.004102751222978479,-0.00019033924952019583,-0.0005247426788612884,0.016570545307762856
2019-12-09,0.0015473755198938234,0.0053994930471120825,-0.0010117345955222845,0.0,0.016570545307762856,0.0019783779904945405,0.0019783779904945405,0.0018750198088130863,0.003473434283502953,0.0053994930471120825,0.0006334771826897648,0.0015473756508867522,0.010778535721707021
